v1	V(vds)	V(vgs)	Id(J1)
3.849999999999994e+000	3.850000e+000	-1.000000e+000	3.673125e-004
3.899999999999994e+000	3.900000e+000	-1.000000e+000	3.673125e-004
3.949999999999994e+000	3.950000e+000	-1.000000e+000	3.673125e-004
3.999999999999994e+000	4.000000e+000	-1.000000e+000	3.673125e-004
4.049999999999994e+000	4.050000e+000	-1.000000e+000	3.673125e-004
4.099999999999993e+000	4.100000e+000	-1.000000e+000	3.673125e-004
4.149999999999993e+000	4.150000e+000	-1.000000e+000	3.673125e-004
4.199999999999993e+000	4.200000e+000	-1.000000e+000	3.673125e-004
4.249999999999993e+000	4.250000e+000	-1.000000e+000	3.673125e-004
4.299999999999993e+000	4.300000e+000	-1.000000e+000	3.673125e-004
4.349999999999993e+000	4.350000e+000	-1.000000e+000	3.673125e-004
4.399999999999992e+000	4.400000e+000	-1.000000e+000	3.673125e-004
4.449999999999992e+000	4.450000e+000	-1.000000e+000	3.673125e-004
4.499999999999992e+000	4.500000e+000	-1.000000e+000	3.673125e-004
4.549999999999992e+000	4.550000e+000	-1.000000e+000	3.673125e-004
4.599999999999992e+000	4.600000e+000	-1.000000e+000	3.673125e-004
4.649999999999992e+000	4.650000e+000	-1.000000e+000	3.673125e-004
4.699999999999991e+000	4.700000e+000	-1.000000e+000	3.673125e-004
4.749999999999991e+000	4.750000e+000	-1.000000e+000	3.673125e-004
4.799999999999991e+000	4.800000e+000	-1.000000e+000	3.673125e-004
4.849999999999991e+000	4.850000e+000	-1.000000e+000	3.673125e-004
4.899999999999991e+000	4.900000e+000	-1.000000e+000	3.673125e-004
4.949999999999990e+000	4.950000e+000	-1.000000e+000	3.673125e-004
4.999999999999990e+000	5.000000e+000	-1.000000e+000	3.673125e-004
5.049999999999990e+000	5.050000e+000	-1.000000e+000	3.673125e-004
5.099999999999990e+000	5.100000e+000	-1.000000e+000	3.673125e-004
5.149999999999990e+000	5.150000e+000	-1.000000e+000	3.673125e-004
5.199999999999990e+000	5.200000e+000	-1.000000e+000	3.673125e-004
5.249999999999989e+000	5.250000e+000	-1.000000e+000	3.673125e-004
5.299999999999989e+000	5.300000e+000	-1.000000e+000	3.673125e-004
5.349999999999989e+000	5.350000e+000	-1.000000e+000	3.673125e-004
5.399999999999989e+000	5.400000e+000	-1.000000e+000	3.673125e-004
5.449999999999989e+000	5.450000e+000	-1.000000e+000	3.673125e-004
5.499999999999989e+000	5.500000e+000	-1.000000e+000	3.673125e-004
5.549999999999988e+000	5.550000e+000	-1.000000e+000	3.673125e-004
5.599999999999988e+000	5.600000e+000	-1.000000e+000	3.673125e-004
5.649999999999988e+000	5.650000e+000	-1.000000e+000	3.673125e-004
5.699999999999988e+000	5.700000e+000	-1.000000e+000	3.673125e-004
5.749999999999988e+000	5.750000e+000	-1.000000e+000	3.673125e-004
5.799999999999987e+000	5.800000e+000	-1.000000e+000	3.673125e-004
5.849999999999987e+000	5.850000e+000	-1.000000e+000	3.673125e-004
5.899999999999987e+000	5.900000e+000	-1.000000e+000	3.673125e-004
5.949999999999987e+000	5.950000e+000	-1.000000e+000	3.673125e-004
5.999999999999987e+000	6.000000e+000	-1.000000e+000	3.673125e-004
