v2,V(vgs),Id(J1)
-5.040000000000021e+000,-5.040000e+000,1.505000e-011
-5.030000000000021e+000,-5.030000e+000,1.504000e-011
-5.020000000000021e+000,-5.020000e+000,1.503000e-011
-5.010000000000021e+000,-5.010000e+000,1.502000e-011
-5.000000000000021e+000,-5.000000e+000,1.501000e-011
-4.990000000000022e+000,-4.990000e+000,1.500000e-011
-4.980000000000022e+000,-4.980000e+000,1.499000e-011
-4.970000000000022e+000,-4.970000e+000,1.498000e-011
-4.960000000000022e+000,-4.960000e+000,1.497000e-011
-4.950000000000022e+000,-4.950000e+000,1.496000e-011
-4.940000000000023e+000,-4.940000e+000,1.495000e-011
-4.930000000000023e+000,-4.930000e+000,1.494000e-011
-4.920000000000023e+000,-4.920000e+000,1.493000e-011
-4.910000000000023e+000,-4.910000e+000,1.492000e-011
-4.900000000000023e+000,-4.900000e+000,1.491000e-011
-4.890000000000024e+000,-4.890000e+000,1.490000e-011
-4.880000000000024e+000,-4.880000e+000,1.489000e-011
-4.870000000000024e+000,-4.870000e+000,1.488000e-011
-4.860000000000024e+000,-4.860000e+000,1.487000e-011
-4.850000000000025e+000,-4.850000e+000,1.486000e-011
-4.840000000000025e+000,-4.840000e+000,1.485000e-011
-4.830000000000025e+000,-4.830000e+000,1.484000e-011
-4.820000000000025e+000,-4.820000e+000,1.483000e-011
-4.810000000000025e+000,-4.810000e+000,1.482000e-011
-4.800000000000026e+000,-4.800000e+000,1.481000e-011
-4.790000000000026e+000,-4.790000e+000,1.480000e-011
-4.780000000000026e+000,-4.780000e+000,1.479000e-011
-4.770000000000026e+000,-4.770000e+000,1.478000e-011
-4.760000000000026e+000,-4.760000e+000,1.477000e-011
-4.750000000000027e+000,-4.750000e+000,1.476000e-011
-4.740000000000027e+000,-4.740000e+000,1.475000e-011
-4.730000000000027e+000,-4.730000e+000,1.474000e-011
-4.720000000000027e+000,-4.720000e+000,1.473000e-011
-4.710000000000028e+000,-4.710000e+000,1.472000e-011
-4.700000000000028e+000,-4.700000e+000,1.471000e-011
-4.690000000000028e+000,-4.690000e+000,1.470000e-011
-4.680000000000028e+000,-4.680000e+000,1.469000e-011
-4.670000000000028e+000,-4.670000e+000,1.468000e-011
-4.660000000000029e+000,-4.660000e+000,1.467000e-011
-4.650000000000029e+000,-4.650000e+000,1.466000e-011
-4.640000000000029e+000,-4.640000e+000,1.465000e-011
-4.630000000000029e+000,-4.630000e+000,1.464000e-011
-4.620000000000029e+000,-4.620000e+000,1.463000e-011
-4.610000000000030e+000,-4.610000e+000,1.462000e-011
-4.600000000000030e+000,-4.600000e+000,1.461000e-011
-4.590000000000030e+000,-4.590000e+000,1.460000e-011
-4.580000000000030e+000,-4.580000e+000,1.459000e-011
-4.570000000000031e+000,-4.570000e+000,1.458000e-011
-4.560000000000031e+000,-4.560000e+000,1.457000e-011
-4.550000000000031e+000,-4.550000e+000,1.456000e-011
-4.540000000000031e+000,-4.540000e+000,1.455000e-011
-4.530000000000031e+000,-4.530000e+000,1.454000e-011
-4.520000000000032e+000,-4.520000e+000,1.453000e-011
-4.510000000000032e+000,-4.510000e+000,1.452000e-011
-4.500000000000032e+000,-4.500000e+000,1.451000e-011
-4.490000000000032e+000,-4.490000e+000,1.450000e-011
-4.480000000000032e+000,-4.480000e+000,1.449000e-011
-4.470000000000033e+000,-4.470000e+000,1.448000e-011
-4.460000000000033e+000,-4.460000e+000,1.447000e-011
-4.450000000000033e+000,-4.450000e+000,1.446000e-011
-4.440000000000033e+000,-4.440000e+000,1.445000e-011
-4.430000000000034e+000,-4.430000e+000,1.444000e-011
-4.420000000000034e+000,-4.420000e+000,1.443000e-011
-4.410000000000034e+000,-4.410000e+000,1.442000e-011
-4.400000000000034e+000,-4.400000e+000,1.441000e-011
-4.390000000000034e+000,-4.390000e+000,1.440000e-011
-4.380000000000035e+000,-4.380000e+000,1.439000e-011
-4.370000000000035e+000,-4.370000e+000,1.438000e-011
-4.360000000000035e+000,-4.360000e+000,1.437000e-011
-4.350000000000035e+000,-4.350000e+000,1.436000e-011
-4.340000000000035e+000,-4.340000e+000,1.435000e-011
-4.330000000000036e+000,-4.330000e+000,1.434000e-011
-4.320000000000036e+000,-4.320000e+000,1.433000e-011
-4.310000000000036e+000,-4.310000e+000,1.432000e-011
-4.300000000000036e+000,-4.300000e+000,1.431000e-011
-4.290000000000037e+000,-4.290000e+000,1.430000e-011
-4.280000000000037e+000,-4.280000e+000,1.429000e-011
-4.270000000000037e+000,-4.270000e+000,1.428000e-011
-4.260000000000037e+000,-4.260000e+000,1.427000e-011
-4.250000000000037e+000,-4.250000e+000,1.426000e-011
-4.240000000000038e+000,-4.240000e+000,1.425000e-011
-4.230000000000038e+000,-4.230000e+000,1.424000e-011
-4.220000000000038e+000,-4.220000e+000,1.423000e-011
-4.210000000000038e+000,-4.210000e+000,1.422000e-011
-4.200000000000038e+000,-4.200000e+000,1.421000e-011
-4.190000000000039e+000,-4.190000e+000,1.420000e-011
-4.180000000000039e+000,-4.180000e+000,1.419000e-011
-4.170000000000039e+000,-4.170000e+000,1.418000e-011
-4.160000000000039e+000,-4.160000e+000,1.417000e-011
-4.150000000000039e+000,-4.150000e+000,1.416000e-011
-4.140000000000040e+000,-4.140000e+000,1.415000e-011
-4.130000000000040e+000,-4.130000e+000,1.414000e-011
-4.120000000000040e+000,-4.120000e+000,1.413000e-011
-4.110000000000040e+000,-4.110000e+000,1.412000e-011
-4.100000000000041e+000,-4.100000e+000,1.411000e-011
-4.090000000000041e+000,-4.090000e+000,1.410000e-011
-4.080000000000041e+000,-4.080000e+000,1.409000e-011
-4.070000000000041e+000,-4.070000e+000,1.408000e-011
-4.060000000000041e+000,-4.060000e+000,1.407000e-011
-4.050000000000042e+000,-4.050000e+000,1.406000e-011
