Agilent Power Supply (V),Agilent Power Supply (A),Keithley (V),Keithley (A),Agilent Multimeter (V),Fluke Multimeter (V)
1.669793,0.000000,-0.000007,3.161188E-6,0.003167,-0.073870
1.670721,0.000000,0.499954,2.918867E-6,0.003015,-0.073549
1.670766,0.000000,0.999983,2.844922E-6,0.002955,-0.073477
1.670857,0.000000,1.499967,2.803160E-6,0.002906,-0.073511
1.670880,0.000000,1.999890,2.758369E-6,0.002863,-0.073604
1.670880,0.000000,2.499599,2.720567E-6,0.002830,-0.073738
1.670744,0.000000,2.999578,2.699053E-6,0.002808,-0.073895
1.670744,0.000000,3.500142,2.677390E-6,0.002787,-0.074074
1.670789,0.000000,4.000695,2.659490E-6,0.002774,-0.074269
1.670880,0.000000,4.499959,2.655914E-6,0.002765,-0.074474
1.670880,0.000000,4.999483,2.647466E-6,0.002760,-0.074694
1.670789,0.000000,5.499372,2.731572E-6,0.002847,-0.074916
1.670925,0.000000,5.999650,2.760066E-6,0.002879,-0.075147
1.670812,0.000000,6.500235,2.760249E-6,0.002881,-0.075384
1.670834,0.000000,7.000242,2.758005E-6,0.002880,-0.075626
1.670925,0.000000,7.499478,2.765680E-6,0.002884,-0.075875
1.670766,0.000000,7.999023,2.755261E-6,0.002868,-0.076130
1.670789,0.000000,8.499558,2.742932E-6,0.002851,-0.076392
1.670744,0.000000,8.999889,2.722194E-6,0.002830,-0.076652
1.670834,0.000000,9.500355,2.709112E-6,0.002830,-0.076920
1.670789,0.000000,10.000040,2.730481E-6,0.002839,-0.077187
1.670744,0.000000,10.499290,2.706628E-6,0.002810,-0.077459
1.670744,0.000000,10.999380,2.672076E-6,0.002783,-0.077730
1.670744,0.000000,11.499630,2.657848E-6,0.002782,-0.078005
1.670857,0.000000,12.000280,2.646524E-6,0.002762,-0.078282
1.670834,0.000000,12.500140,2.643329E-6,0.002750,-0.078563
1.670857,0.000000,12.999250,2.628243E-6,0.002742,-0.078847
1.670857,0.000000,13.498710,2.611567E-6,0.002724,-0.079132
1.670925,0.000000,13.999310,2.587081E-6,0.002701,-0.079418
1.670789,0.000000,14.499540,2.581419E-6,0.002691,-0.079703
1.670834,0.000000,14.999770,2.551657E-6,0.002657,-0.079992
1.670880,0.000000,15.499130,2.514513E-6,0.002621,-0.080282
1.670902,0.000000,15.998090,2.525654E-6,0.002634,-0.080574
2.670346,0.000000,-0.000000,6.083790E-6,0.006171,-0.080921
