Agilent Power Supply (V),Agilent Power Supply (A),Keithley (V),Keithley (A),Agilent Multimeter (V)
3.288980,0.000000,4.500367,3.615479E-3,-0.000009
3.288844,0.000000,4.999759,3.623065E-3,-0.000016
3.288821,0.000000,5.499636,3.631963E-3,-0.000008
3.289025,0.000000,6.000123,3.641336E-3,-0.000013
3.288708,0.000000,6.500912,3.651249E-3,-0.000015
3.288799,0.000000,7.000564,3.661001E-3,-0.000014
3.288844,0.000000,7.500022,3.671183E-3,-0.000015
3.288754,0.000000,7.999415,3.680806E-3,-0.000013
3.288799,0.000000,8.499839,3.691839E-3,-0.000008
3.288889,0.000000,9.000652,3.702968E-3,-0.000017
3.288844,0.000000,9.501246,3.714723E-3,-0.000014
3.288889,0.000000,10.000430,3.726373E-3,-0.000018
3.288912,0.000000,10.500020,3.738793E-3,-0.000007
3.288844,0.000000,10.999910,3.751503E-3,-0.000013
3.288641,0.000000,11.500670,3.763652E-3,-0.000014
3.288889,0.000000,12.001500,3.774520E-3,-0.000011
3.288663,0.000000,12.500950,3.786874E-3,-0.000012
3.288799,0.000000,13.000310,3.800793E-3,-0.000012
3.288776,0.000000,13.499540,3.815312E-3,-0.000011
3.288799,0.000000,14.000320,3.830767E-3,-0.000013
3.288889,0.000000,14.500970,3.846561E-3,-0.000006
3.288867,0.000000,15.000910,3.862233E-3,-0.000009
3.288754,0.000000,15.500220,3.876884E-3,-0.000012
3.288776,0.000000,15.999070,3.895068E-3,-0.000016
3.968498,0.000000,0.000002,-44.497920E-6,-0.000020
3.968859,0.000000,0.499980,4.648040E-3,-0.000013
3.968724,0.000000,1.000053,4.653205E-3,-0.000012
3.968678,0.000000,1.500087,4.657238E-3,-0.000010
3.968904,0.000000,2.000049,4.662463E-3,-0.000010
3.968769,0.000000,2.499859,4.665364E-3,-0.000012
3.968814,0.000000,3.000245,4.668559E-3,-0.000009
3.968724,0.000000,3.500638,4.675135E-3,-0.000009
3.968837,0.000000,4.001341,4.684814E-3,-0.000015
3.968950,0.000000,4.500513,4.694514E-3,-0.000015
3.968724,0.000000,4.999916,4.704956E-3,-0.000013
3.968859,0.000000,5.499843,4.716470E-3,-0.000015
3.968950,0.000000,6.000345,4.729096E-3,-0.000016
3.968995,0.000000,6.501111,4.742105E-3,-0.000020
3.968904,0.000000,7.000826,4.756416E-3,-0.000013
3.968904,0.000000,7.500255,4.772861E-3,-0.000012
3.968927,0.000000,7.999694,4.787431E-3,-0.000013
3.968904,0.000000,8.500027,4.804524E-3,-0.000015
3.968995,0.000000,9.000868,4.816991E-3,-0.000015
3.968724,0.000000,9.501413,4.832278E-3,-0.000014
3.968837,0.000000,10.000600,4.848727E-3,-0.000009
3.968904,0.000000,10.500010,4.867983E-3,-0.000016
3.968950,0.000000,10.999910,4.884047E-3,-0.000016
3.968814,0.000000,11.500680,4.897705E-3,-0.000015
3.968769,0.000000,12.001410,4.917742E-3,-0.000015
3.968678,0.000000,12.500890,4.932409E-3,-0.000012
3.968950,0.000000,13.000280,4.947881E-3,-0.000011
3.968859,0.000000,13.499570,4.970435E-3,-0.000013
3.968769,0.000000,14.000260,4.977203E-3,-0.000012
3.968882,0.000000,14.501060,4.975867E-3,-0.000012
3.968678,0.000000,15.000940,5.004962E-3,-0.000012
3.968904,0.000000,15.500250,5.035261E-3,-0.000011
3.968859,0.000000,15.999290,5.011815E-3,-0.000008
