Agilent Power Supply (V),Agilent Power Supply (A),Keithley (V),Keithley (A),Agilent Multimeter (V),Fluke Multimeter (V)
1.669838,0.000000,-0.000006,9.204589E-6,-0.008913,-0.348020
1.670880,0.000000,0.499962,7.545872E-6,-0.007335,-0.348350
1.670970,0.000000,0.999990,6.835374E-6,-0.006787,-0.348670
1.670902,0.000000,1.499974,6.508842E-6,-0.006449,-0.348990
1.670880,0.000000,1.999899,6.151850E-6,-0.006178,-0.349320
1.670812,0.000000,2.499674,6.053102E-6,-0.006111,-0.349630
1.670766,0.000000,2.999633,6.026148E-6,-0.006094,-0.349960
1.670812,0.000000,3.500205,6.018262E-6,-0.006021,-0.350300
1.670812,0.000000,4.000782,5.850310E-6,-0.005890,-0.350620
1.670857,0.000000,4.499996,5.736035E-6,-0.005763,-0.350940
1.670766,0.000000,4.999518,5.651664E-6,-0.005690,-0.351260
1.670812,0.000000,5.499395,5.466328E-6,-0.005697,-0.351580
1.670880,0.000000,5.999683,5.569205E-6,-0.005639,-0.351930
1.670812,0.000000,6.500268,5.404992E-6,-0.092364,-0.352290
1.670812,0.000000,7.000329,76.123190E-6,-0.071389,-0.352620
1.670653,0.000000,7.499558,73.420470E-6,-0.072208,-0.352960
1.670766,0.000000,7.998991,98.729720E-6,-0.097162,-0.353280
1.670766,0.000000,8.499558,2.698875E-3,-0.082012,-0.353620
1.670947,0.000000,8.999947,6.205820E-3,-0.068371,-0.353950
1.670721,0.000000,9.500516,9.524305E-3,-0.063322,-0.354270
1.670698,0.000000,10.000000,13.659670E-3,-0.062312,-0.354600
1.670789,0.000000,10.499270,17.001860E-3,-0.062124,-0.354940
1.670698,0.000000,10.788250,20.001660E-3,-0.058710,-0.355260
1.670744,0.000000,10.782580,20.001700E-3,-0.058671,-0.355580
1.670653,0.000000,10.793250,20.001710E-3,-0.057477,-0.355910
1.670812,0.000000,10.794900,20.001680E-3,-0.055754,-0.356230
1.670766,0.000000,10.782680,20.001730E-3,-0.053676,-0.356560
1.670812,0.000000,10.788020,20.001850E-3,-0.053969,-0.356880
1.670563,0.000000,10.776450,20.001800E-3,-0.000630,-0.357130
1.670834,0.000000,14.499660,936.843700E-9,-0.001326,-0.357450
1.670744,0.000000,9.772349,1.049119E-6,-0.001373,-0.357760
1.670698,0.000000,15.499120,1.395866E-6,-0.001639,-0.358080
1.670744,0.000000,15.998130,2.191694E-6,-0.002466,-0.358390
2.670346,0.000000,0.000002,8.767232E-6,-0.008798,-0.358760
2.670527,0.000000,0.499964,8.407131E-6,-0.008660,-0.359080
2.670527,0.000000,0.999991,8.442134E-6,-0.008679,-0.359400
2.670527,0.000000,1.499979,8.413143E-6,-0.008643,-0.359720
2.670527,0.000000,1.999897,8.399113E-6,-0.008643,-0.360050
2.670482,0.000000,2.499674,8.401739E-6,-0.008639,-0.360360
2.670527,0.000000,2.999663,8.399155E-6,-0.008644,-0.360680
2.670527,0.000000,3.500218,8.403223E-6,0.001626,-0.361010
