Agilent Power Supply (V),Agilent Power Supply (A),Keithley (V),Keithley (A),Agilent Multimeter (V),Fluke Multimeter (V)
1.669363,0.000000,-0.000004,2.583998E-6,0.002645,-0.081578
1.670472,0.000000,0.499957,2.486474E-6,0.002594,-0.081881
1.670427,0.000000,0.999983,2.472281E-6,0.002582,-0.082185
1.670381,0.000000,1.499967,2.467020E-6,0.002579,-0.082491
1.670336,0.000000,1.999889,2.461603E-6,0.002572,-0.082798
1.670472,0.000000,2.499591,2.454243E-6,0.002566,-0.083104
1.670427,0.000000,2.999562,2.443224E-6,0.002557,-0.083416
1.670472,0.000000,3.500149,2.470920E-6,0.002580,-0.083726
1.670472,0.000000,4.000721,2.449719E-6,0.002562,-0.084037
1.670404,0.000000,4.499965,2.445515E-6,0.002557,-0.084348
1.670381,0.000000,4.999465,2.441707E-6,0.002552,-0.084657
1.670472,0.000000,5.499349,2.436557E-6,0.002547,-0.084974
1.670449,0.000000,5.999644,2.432841E-6,0.002543,-0.085288
1.670540,0.000000,6.500220,2.429144E-6,0.002539,-0.085603
1.670359,0.000000,7.000241,2.426037E-6,0.002536,-0.085915
1.670336,0.000000,7.499466,2.422828E-6,0.002533,-0.086230
1.670404,0.000000,7.999024,2.419922E-6,0.002529,-0.086547
1.670427,0.000000,8.499537,2.417331E-6,0.002527,-0.086865
1.670381,0.000000,8.999878,2.416048E-6,0.002525,-0.087184
1.670427,0.000000,9.500385,2.414116E-6,0.002523,-0.087503
1.670517,0.000000,10.000020,2.410863E-6,0.002519,-0.087823
1.670472,0.000000,10.499310,2.408858E-6,0.002518,-0.088145
1.670336,0.000000,10.999400,2.407972E-6,0.002517,-0.088464
1.670449,0.000000,11.499640,2.406385E-6,0.002515,-0.088788
1.670472,0.000000,12.000310,2.405135E-6,0.002513,-0.089110
1.670336,0.000000,12.500090,2.404110E-6,0.002513,-0.089434
1.670517,0.000000,12.999220,2.402179E-6,0.002509,-0.089756
1.670381,0.000000,13.498730,2.398200E-6,0.002506,-0.090083
1.670291,0.000000,13.999300,2.397044E-6,0.002505,-0.090410
1.670246,0.000000,14.499530,2.395677E-6,0.002503,-0.090736
1.670336,0.000000,14.999780,2.396193E-6,0.002504,-0.091061
1.670314,0.000000,15.499120,2.394882E-6,0.002503,-0.091385
1.670472,0.000000,15.998150,2.393858E-6,0.002503,-0.091713
2.670346,0.000000,-0.000000,5.746606E-6,0.005867,-0.092100
