Agilent Power Supply (V),Agilent Power Supply (A),Keithley (V),Keithley (A),Agilent Multimeter (V),Fluke Multimeter (V)
1.669566,0.000000,-0.000006,3.375735E-6,0.003531,-0.361670
1.670495,0.000000,0.499958,3.415711E-6,0.003634,-0.361990
1.670630,0.000000,0.999986,3.493849E-6,0.003703,-0.362310
1.670585,0.000000,1.499969,3.513459E-6,0.003707,-0.362630
1.670563,0.000000,1.999891,3.527717E-6,0.003729,-0.362950
1.670404,0.000000,2.499637,3.538395E-6,0.003733,-0.363260
1.670517,0.000000,2.999589,3.459779E-6,0.003657,-0.363590
1.670381,0.000000,3.500154,3.461583E-6,0.003652,-0.363910
1.670449,0.000000,4.000726,3.470294E-6,0.003666,-0.364230
1.670427,0.000000,4.499964,3.472149E-6,0.003668,-0.364540
1.670472,0.000000,4.999478,3.477667E-6,0.003671,-0.364870
1.670517,0.000000,5.499350,3.468215E-6,0.003664,-0.365180
1.670540,0.000000,5.999665,3.472114E-6,0.003662,-0.365490
1.670540,0.000000,6.500233,3.404078E-6,0.003568,-0.365810
1.670427,0.000000,7.000244,3.382991E-6,0.003572,-0.366140
1.670427,0.000000,7.499488,3.374686E-6,0.003567,-0.366450
1.670404,0.000000,7.999033,3.385633E-6,0.003572,-0.366770
1.670563,0.000000,8.499576,3.400100E-6,0.003581,-0.367090
1.670427,0.000000,8.999907,3.394258E-6,0.003585,-0.367400
1.670563,0.000000,9.500378,3.397353E-6,0.003586,-0.367710
1.670381,0.000000,10.000040,3.401716E-6,0.003593,-0.368040
1.670404,0.000000,10.499310,3.401233E-6,0.003589,-0.368350
1.670336,0.000000,10.999400,3.393499E-6,0.003583,-0.368670
1.670472,0.000000,11.499660,3.391901E-6,0.003581,-0.368980
1.670472,0.000000,12.000300,3.391915E-6,0.003581,-0.369300
1.670427,0.000000,12.500130,3.394568E-6,0.003584,-0.369610
1.670472,0.000000,12.999230,3.401012E-6,0.003589,-0.369930
1.670359,0.000000,13.498730,3.403399E-6,0.003592,-0.370240
1.670472,0.000000,13.999320,3.403950E-6,0.003593,-0.370560
1.670336,0.000000,14.499530,3.407566E-6,0.003596,-0.370870
1.670381,0.000000,14.999830,3.414543E-6,0.003598,-0.371190
1.670381,0.000000,15.499160,3.407865E-6,0.003598,-0.371500
1.670472,0.000000,15.998140,3.408543E-6,0.003595,-0.371820
2.669938,0.000000,0.000003,8.249950E-6,0.008574,-0.372190
2.670029,0.000000,0.499962,7.935326E-6,0.008183,-0.372510
2.670052,0.000000,0.999990,7.935689E-6,0.009065,-0.372830
2.670120,0.000000,1.499981,8.138300E-6,0.007892,-0.373150
2.670029,0.000000,1.999899,7.890476E-6,0.008086,-0.373460
2.670074,0.000000,2.499692,7.793050E-6,0.008287,-0.373780
2.670074,0.000000,2.999679,8.482189E-6,0.008522,-0.374100
2.670120,0.000000,3.500239,8.166455E-6,0.008413,-0.374400
2.670120,0.000000,4.000685,35.842280E-6,0.008127,-0.374750
2.670006,0.000000,4.500018,7.822745E-6,0.008151,-0.375070
2.670165,0.000000,4.999561,7.931716E-6,0.008163,-0.375390
2.670120,0.000000,5.499423,7.893969E-6,0.008117,-0.375700
2.670074,0.000000,5.999716,7.861812E-6,0.008091,-0.376000
2.670074,0.000000,6.500341,7.849342E-6,0.008085,-0.376310
2.670120,0.000000,7.000331,7.858065E-6,0.008080,-0.376630
2.670120,0.000000,7.499540,7.828609E-6,0.008053,-0.376940
2.670029,0.000000,7.999100,7.815812E-6,0.008045,-0.377250
2.670142,0.000000,8.499660,7.793848E-6,0.008021,-0.377570
2.670074,0.000000,8.999966,7.777970E-6,0.008004,-0.377880
2.670052,0.000000,9.500467,7.763600E-6,0.007985,-0.378190
2.670142,0.000000,10.000130,7.749209E-6,0.007976,-0.378510
2.670097,0.000000,10.499370,7.721539E-6,0.007946,-0.378820
2.670142,0.000000,10.999450,7.710688E-6,0.007935,-0.379130
2.670006,0.000000,11.499730,7.696402E-6,0.007923,-0.379440
2.670142,0.000000,12.000390,7.687357E-6,0.007910,-0.379750
2.670029,0.000000,12.500200,7.669286E-6,0.007894,-0.380070
2.670142,0.000000,12.999340,7.654867E-6,0.007881,-0.380380
