Agilent Power Supply (V),Agilent Power Supply (A),Keithley (V),Keithley (A),Agilent Multimeter (V),Fluke Multimeter (V)
1.669929,0.000000,-0.000008,2.813079E-6,0.002800,-0.096133
1.670880,0.000000,0.499954,2.549321E-6,0.002647,-0.096471
1.670789,0.000000,0.999986,2.500455E-6,0.002606,-0.096811
1.670925,0.000000,1.499969,2.473664E-6,0.002580,-0.097148
1.670857,0.000000,1.999889,2.454861E-6,0.002563,-0.097487
1.670744,0.000000,2.499608,2.437574E-6,0.002547,-0.097826
1.670880,0.000000,2.999590,2.425935E-6,0.002535,-0.098164
1.670721,0.000000,3.500153,2.416831E-6,0.002526,-0.098501
1.670812,0.000000,4.000717,2.406221E-6,0.002517,-0.098840
1.670834,0.000000,4.499939,2.398891E-6,0.002508,-0.099178
1.670812,0.000000,4.999486,2.391497E-6,0.002500,-0.099516
1.670812,0.000000,5.499351,2.385511E-6,0.002495,-0.099857
1.670789,0.000000,5.999658,2.406479E-6,0.002499,-0.100196
1.670834,0.000000,6.500232,2.381355E-6,0.002489,-0.100540
1.670812,0.000000,7.000236,2.375238E-6,0.002483,-0.100881
1.670812,0.000000,7.499468,2.370905E-6,0.002479,-0.101221
1.670812,0.000000,7.999029,2.365191E-6,0.002473,-0.101561
1.670766,0.000000,8.499572,2.361224E-6,0.002469,-0.101903
1.670789,0.000000,8.999856,2.356985E-6,0.002465,-0.102243
1.670766,0.000000,9.500370,2.353271E-6,0.002461,-0.102586
1.670880,0.000000,10.000030,2.350100E-6,0.002457,-0.102931
1.670766,0.000000,10.499270,2.346349E-6,0.002454,-0.103274
1.670789,0.000000,10.999390,2.343108E-6,0.002450,-0.103617
1.670857,0.000000,11.499630,2.340326E-6,0.002448,-0.103957
1.670744,0.000000,12.000280,2.336871E-6,0.002444,-0.104298
1.670812,0.000000,12.500110,2.332866E-6,0.002440,-0.104642
1.670834,0.000000,12.999220,2.329770E-6,0.002436,-0.104987
1.670880,0.000000,13.498710,2.326009E-6,0.002433,-0.105330
1.670744,0.000000,13.999290,2.322189E-6,0.002429,-0.105671
1.670880,0.000000,14.499540,2.320061E-6,0.002427,-0.106014
1.670902,0.000000,14.999780,2.317023E-6,0.002423,-0.106354
1.670789,0.000000,15.499100,2.314467E-6,0.002421,-0.106699
1.670925,0.000000,15.998130,2.312916E-6,0.002420,-0.107045
2.670414,0.000000,-0.000001,5.444098E-6,0.005536,-0.107442
2.670482,0.000000,0.499962,5.312780E-6,0.005452,-0.107793
2.670573,0.000000,0.999990,5.271421E-6,0.005414,-0.108145
2.670550,0.000000,1.499973,5.242412E-6,0.005384,-0.108498
2.670482,0.000000,1.999894,5.218427E-6,0.005363,-0.108847
2.670482,0.000000,2.499626,5.194607E-6,0.005339,-0.109196
2.670482,0.000000,2.999621,5.179455E-6,0.005323,-0.109545
2.670573,0.000000,3.500187,5.155146E-6,0.005298,-0.109896
2.670573,0.000000,4.000737,5.121615E-6,0.005266,-0.110244
2.670527,0.000000,4.499998,5.106423E-6,0.005252,-0.110593
2.670482,0.000000,4.999524,5.085697E-6,0.005230,-0.110940
2.670573,0.000000,5.499388,5.071051E-6,0.005214,-0.111290
2.670527,0.000000,5.999687,5.056287E-6,0.005201,-0.111638
2.670482,0.000000,6.500275,5.049038E-6,0.005192,-0.111988
2.670527,0.000000,7.000274,5.037577E-6,0.005181,-0.112335
2.670482,0.000000,7.499510,5.025001E-6,0.005168,-0.112688
2.670482,0.000000,7.999065,5.015241E-6,0.005159,-0.113038
2.670595,0.000000,8.499619,5.003786E-6,0.005147,-0.113390
2.670482,0.000000,8.999912,4.996195E-6,0.005138,-0.113739
2.670527,0.000000,9.500440,4.983734E-6,0.005122,-0.114090
2.670618,0.000000,10.000060,4.968096E-6,0.005110,-0.114441
2.670527,0.000000,10.499340,4.954625E-6,0.005095,-0.114794
2.670482,0.000000,10.999430,4.939161E-6,0.005080,-0.115141
2.670482,0.000000,11.499660,4.926374E-6,0.009478,-0.115493
