Agilent Power Supply (V),Agilent Power Supply (A),Keithley (V),Keithley (A),Fluke Multimeter (V)
1.669747,0.000000,-0.000001,6.711340E-6,-0.268620
1.670744,0.000000,0.499957,5.045897E-6,-0.268830
1.670676,0.000000,0.999988,4.413587E-6,-0.269040
1.670744,0.000000,1.499968,4.031488E-6,-0.269260
1.670698,0.000000,1.999894,3.740086E-6,-0.269470
1.670789,0.000000,2.499597,3.555069E-6,-0.269680
1.670789,0.000000,2.999569,3.414240E-6,-0.269890
1.670766,0.000000,3.500158,3.350423E-6,-0.270090
1.670721,0.000000,4.000730,3.335118E-6,-0.270310
1.670789,0.000000,4.499970,3.288494E-6,-0.270510
1.670698,0.000000,4.999488,3.384102E-6,-0.270720
1.670698,0.000000,5.499331,3.394655E-6,-0.270940
1.670744,0.000000,5.999627,3.336007E-6,-0.271140
1.670834,0.000000,6.500247,3.269796E-6,-0.271350
1.670698,0.000000,7.000236,3.245471E-6,-0.271560
1.670676,0.000000,7.499470,3.244292E-6,-0.271770
1.670880,0.000000,7.999029,3.211627E-6,-0.271980
1.670789,0.000000,8.499562,3.215283E-6,-0.272190
1.670698,0.000000,8.999885,3.205644E-6,-0.272400
1.670834,0.000000,9.500380,3.259743E-6,-0.272610
1.670834,0.000000,10.000030,3.262529E-6,-0.272810
1.670789,0.000000,10.499290,3.277813E-6,-0.273020
1.670766,0.000000,10.999390,3.260165E-6,-0.273230
1.670834,0.000000,11.499620,2.539649E-6,-0.273440
1.670789,0.000000,12.000290,2.203016E-6,-0.273650
1.670970,0.000000,12.500090,2.225477E-6,-0.273860
1.670880,0.000000,12.999190,2.197186E-6,-0.274070
1.670812,0.000000,13.498680,2.136765E-6,-0.274280
1.670744,0.000000,13.999290,2.109210E-6,-0.274480
1.670744,0.000000,14.499530,2.092559E-6,-0.274700
1.670789,0.000000,14.999790,2.092976E-6,-0.274900
1.670812,0.000000,15.499120,2.080013E-6,-0.275110
1.670744,0.000000,15.998110,2.024976E-6,-0.275320
2.670346,0.000000,-0.000009,11.387060E-6,-0.275590
2.670323,0.000000,0.499963,9.811839E-6,-0.275810
2.670346,0.000000,0.999995,9.142539E-6,-0.276020
2.670482,0.000000,1.499979,8.583203E-6,-0.276230
2.670459,0.000000,1.999900,8.175749E-6,-0.276440
2.670369,0.000000,2.499677,7.451803E-6,-0.276650
2.670437,0.000000,2.999623,5.438199E-6,-0.276860
2.670391,0.000000,3.500161,5.162932E-6,-0.277080
2.670391,0.000000,4.000758,4.875996E-6,-0.277280
2.670391,0.000000,4.499992,4.698738E-6,-0.277490
2.670437,0.000000,4.999485,4.405578E-6,-0.277700
2.670391,0.000000,5.499371,4.162838E-6,-0.277920
2.670437,0.000000,5.999667,4.042806E-6,-0.278120
2.670346,0.000000,6.500240,3.932507E-6,-0.278330
2.670482,0.000000,7.000244,3.839070E-6,-0.278550
2.670346,0.000000,7.499496,3.703864E-6,-0.278760
2.670482,0.000000,7.999038,3.795007E-6,-0.278970
2.670391,0.000000,8.499578,3.690858E-6,-0.279180
2.670346,0.000000,8.999883,3.551420E-6,-0.279380
2.670391,0.000000,9.500373,3.448813E-6,-0.279600
2.670414,0.000000,10.000040,3.347190E-6,-0.279810
2.670346,0.000000,10.499290,3.237551E-6,-0.280020
2.670391,0.000000,10.999380,3.157243E-6,-0.280230
2.670391,0.000000,11.499660,2.971459E-6,-0.280440
2.670437,0.000000,12.000290,2.719033E-6,-0.280650
2.670391,0.000000,12.500140,2.426680E-6,-0.280850
2.670391,0.000000,12.999220,2.106586E-6,-0.281060
2.670437,0.000000,13.498690,1.906122E-6,-0.281270
2.670459,0.000000,13.999250,1.707246E-6,-0.281480
2.670437,0.000000,14.499520,1.508894E-6,-0.281690
2.670437,0.000000,14.999740,1.330011E-6,-0.281890
2.670391,0.000000,15.499120,1.214129E-6,-0.282100
2.670437,0.000000,15.998100,831.962600E-9,-0.282320
3.669989,0.000000,0.211000,1.350109E-6,-0.282580
3.670216,0.000000,0.499952,1.191810E-6,-0.282790
3.670216,0.000000,0.999981,1.117239E-6,-0.283010
3.670216,0.000000,1.499965,1.036568E-6,-0.283220
3.670238,0.000000,1.877425,906.341000E-9,-0.283440
3.670216,0.000000,2.343494,853.064100E-9,-0.283670
3.670306,0.000000,2.896940,806.044700E-9,-0.283880
3.670125,0.000000,3.369713,764.035600E-9,-0.284090
3.670216,0.000000,4.000807,784.486100E-9,-0.284300
3.670261,0.000000,4.500022,750.353400E-9,-0.284510
3.670193,0.000000,4.999553,723.352200E-9,-0.284720
3.670216,0.000000,5.499385,692.562200E-9,-0.284930
3.670238,0.000000,5.999692,698.849000E-9,-0.285140
3.670284,0.000000,6.500278,670.815600E-9,-0.285350
3.670306,0.000000,7.000298,655.642300E-9,-0.285570
3.670352,0.000000,7.499524,638.028600E-9,-0.285780
3.670284,0.000000,7.999120,629.549200E-9,-0.285990
