Agilent Power Supply (V),Agilent Power Supply (A),Keithley (V),Keithley (A),Agilent Multimeter (V),Fluke Multimeter (V)
1.670064,0.000000,-0.000007,2.387606E-6,0.002335,-0.153260
1.670880,0.000000,0.499957,2.285467E-6,0.002278,-0.153616
1.670947,0.000000,0.999983,2.248427E-6,0.002248,-0.153974
1.670880,0.000000,1.499966,2.243125E-6,0.002241,-0.154331
1.670993,0.000000,1.999888,2.228771E-6,0.002237,-0.154685
1.671038,0.000000,2.499591,2.225072E-6,0.002224,-0.155039
1.670880,0.000000,2.999580,2.214711E-6,0.002219,-0.155397
1.670880,0.000000,3.500148,2.209235E-6,0.002211,-0.155751
1.670902,0.000000,4.000721,2.206550E-6,0.002184,-0.156107
1.670880,0.000000,4.499959,2.024633E-6,0.002021,-0.156460
1.670789,0.000000,4.999480,2.009195E-6,0.002012,-0.156813
1.671038,0.000000,5.499364,1.995531E-6,0.001991,-0.157168
1.670970,0.000000,5.999619,1.991275E-6,0.001984,-0.157523
1.670947,0.000000,6.500230,1.988185E-6,0.001989,-0.157876
1.670857,0.000000,7.000250,1.981960E-6,0.001984,-0.158229
