Agilent Power Supply (V),Agilent Power Supply (A),Keithley (V),Keithley (A),Agilent Multimeter (V),Fluke Multimeter (V)
1.670064,0.000000,-0.000006,2.442842E-6,0.002350,-0.120903
1.670744,0.000000,0.499957,2.358539E-6,0.002306,-0.121259
1.670925,0.000000,0.999986,2.341706E-6,0.002293,-0.121616
1.670789,0.000000,1.499970,2.332294E-6,0.002284,-0.121969
1.670925,0.000000,1.999889,2.325652E-6,0.002278,-0.122321
1.670766,0.000000,2.499611,2.318830E-6,0.002272,-0.122672
1.670925,0.000000,2.999590,2.315379E-6,0.002266,-0.123026
1.670744,0.000000,3.500143,2.327261E-6,0.002270,-0.123377
1.670744,0.000000,4.000729,2.311759E-6,0.002262,-0.123728
