Agilent Power Supply (V),Agilent Power Supply (A),Keithley (V),Keithley (A),Agilent Multimeter (V),Fluke Multimeter (V)
1.249276,0.000000,-0.000078,91.723680E-12,-0.099683,-0.136797
1.250491,0.000000,0.499916,-48.732680E-12,-0.099576,-0.137026
1.250311,0.000000,0.999960,-46.598380E-12,-0.099451,-0.137250
1.250446,0.000000,1.499966,-44.616550E-12,-0.099314,-0.137482
1.250424,0.000000,1.999891,61.742010E-12,-0.099203,-0.137712
1.250514,0.000000,2.499988,-7.927117E-12,-0.099091,-0.137945
1.250401,0.000000,3.000169,-72.616350E-12,-0.098998,-0.138177
1.250559,0.000000,3.500575,26.678860E-12,-0.098892,-0.138407
1.250469,0.000000,4.001018,20.987370E-12,-0.098823,-0.138639
1.250514,0.000000,4.500719,-1.524329E-12,-0.098738,-0.138867
1.250424,0.000000,5.000015,-19.665730E-12,-0.098675,-0.139094
1.250469,0.000000,5.499744,11.535500E-12,-0.098621,-0.139322
1.250401,0.000000,6.000225,-20.529630E-12,-0.098567,-0.139548
1.250424,0.000000,6.500664,46.649610E-12,-0.098502,-0.139773
1.250379,0.000000,7.000817,76.478730E-12,-0.098483,-0.139997
1.250514,0.000000,7.500136,-59.708990E-12,-0.098434,-0.140220
1.250424,0.000000,7.999464,63.825510E-12,-0.098401,-0.140444
1.250469,0.000000,8.499857,42.685920E-12,-0.098366,-0.140661
1.250514,0.000000,9.000319,-89.284870E-12,-0.098302,-0.140883
1.250469,0.000000,9.500996,91.418790E-12,-0.098258,-0.141132
1.250491,0.000000,10.000370,-20.529610E-12,-0.098288,-0.141343
1.250469,0.000000,10.499710,63.368210E-12,-0.098263,-0.141553
1.250401,0.000000,10.999570,30.235900E-12,-0.098219,-0.141763
1.250221,0.000000,11.500030,62.656750E-12,-0.098216,-0.141971
1.250401,0.000000,12.000570,86.896070E-12,-0.098199,-0.142179
1.250446,0.000000,12.500510,32.624330E-12,-0.098170,-0.142389
1.250424,0.000000,12.999740,-94.925950E-12,-0.098149,-0.142596
1.250379,0.000000,13.499010,-133.193800E-12,-0.098134,-0.142801
1.250289,0.000000,13.999500,162.968200E-12,-0.098139,-0.143008
1.250289,0.000000,14.499930,139.084400E-12,-0.098066,-0.143212
1.250289,0.000000,15.000370,342.552900E-12,-0.098063,-0.143415
1.250289,0.000000,15.499570,-131.008600E-12,-0.098090,-0.143619
1.250334,0.000000,15.998740,-155.961500E-12,-0.097922,-0.143826
1.930184,0.000000,-0.000080,275.322900E-12,-0.097968,-0.144195
1.930184,0.000000,0.499917,305.914300E-12,-0.097008,-0.144444
1.930252,0.000000,0.999962,186.699200E-12,-0.097077,-0.144686
1.930274,0.000000,1.499964,130.445600E-12,-0.097081,-0.144925
1.930364,0.000000,1.999892,99.854330E-12,-0.097116,-0.145163
1.930139,0.000000,2.499978,208.804600E-12,-0.097570,-0.145396
1.930229,0.000000,3.000167,294.989000E-12,0.001331,-0.145635
1.930252,0.000000,3.500591,52.086900E-12,-0.000048,-0.145873
1.930139,0.000000,4.001011,72.159330E-12,0.000220,-0.146109
