Agilent Power Supply (V),Agilent Power Supply (A),Keithley (V),Keithley (A),Agilent Multimeter (V),Fluke Multimeter (V)
1.669974,0.000000,-0.000007,2.129637E-6,0.002210,-0.139269
1.670902,0.000000,0.499957,2.089625E-6,0.002189,-0.139628
1.670834,0.000000,0.999983,2.081631E-6,0.002183,-0.139987
1.670812,0.000000,1.499970,2.076044E-6,0.002176,-0.140344
1.670789,0.000000,1.999890,2.069643E-6,0.002170,-0.140701
1.670721,0.000000,2.499594,2.062941E-6,0.002165,-0.141056
1.670744,0.000000,2.999590,2.059591E-6,0.002161,-0.141411
1.670789,0.000000,3.500151,2.055639E-6,0.002157,-0.141764
1.670698,0.000000,4.000707,2.052787E-6,0.002154,-0.142121
1.670834,0.000000,4.499942,2.049060E-6,0.002150,-0.142474
1.670857,0.000000,4.999479,2.046587E-6,0.002148,-0.142829
1.670834,0.000000,5.499310,2.044898E-6,0.002145,-0.143184
1.670698,0.000000,5.999630,2.040597E-6,0.002141,-0.143538
1.670789,0.000000,6.500225,2.034981E-6,0.002135,-0.143892
1.670925,0.000000,7.000240,2.030446E-6,0.002130,-0.144247
1.670834,0.000000,7.499472,2.026361E-6,0.002127,-0.144601
1.670834,0.000000,7.999032,2.023404E-6,0.002122,-0.144955
1.670834,0.000000,8.499538,2.015873E-6,0.002115,-0.145308
1.670698,0.000000,8.999875,2.013850E-6,0.002113,-0.145664
1.670766,0.000000,9.500376,2.007696E-6,0.002106,-0.146020
1.670698,0.000000,10.000020,2.003291E-6,0.002102,-0.146378
1.670721,0.000000,10.499280,1.999134E-6,0.002099,-0.146733
1.670744,0.000000,10.999380,1.998921E-6,0.002098,-0.147085
1.670789,0.000000,11.499640,1.996405E-6,0.002095,-0.147438
1.670744,0.000000,12.000310,1.994467E-6,0.002093,-0.147791
1.670834,0.000000,12.500120,1.984959E-6,0.002083,-0.148145
1.670721,0.000000,12.999240,1.980559E-6,0.002079,-0.148499
1.670834,0.000000,13.498690,1.975703E-6,0.002073,-0.148852
1.670834,0.000000,13.999280,1.969979E-6,0.002069,-0.149206
1.670857,0.000000,14.499540,1.966271E-6,0.002064,-0.149560
1.670925,0.000000,14.999780,1.959981E-6,0.002057,-0.149911
1.670744,0.000000,15.499130,1.954895E-6,0.002052,-0.150260
1.670721,0.000000,15.998100,1.952367E-6,0.002049,-0.150613
2.670255,0.000000,-0.000003,4.423212E-6,0.004480,-0.151018
2.670437,0.000000,0.499959,4.261672E-6,0.004377,-0.151377
2.670437,0.000000,0.999988,4.219881E-6,0.004357,-0.151735
