Agilent Power Supply (V),Agilent Power Supply (A),Keithley (V),Keithley (A),Agilent Multimeter (V),Fluke Multimeter (V)
1.670087,0.000000,-0.000006,2.452152E-6,0.002483,-0.129916
1.670925,0.000000,0.499955,2.306496E-6,0.002401,-0.130272
1.670744,0.000000,0.999982,2.271613E-6,0.002370,-0.130626
1.670744,0.000000,1.499968,2.253537E-6,0.002350,-0.130981
1.670744,0.000000,1.999886,2.232327E-6,0.002332,-0.131335
1.670721,0.000000,2.499600,2.216089E-6,0.002318,-0.131688
1.670744,0.000000,2.999576,2.215592E-6,0.002316,-0.132045
1.670653,0.000000,3.500138,2.201110E-6,0.002302,-0.132399
1.670766,0.000000,4.000693,2.191024E-6,0.002292,-0.132753
1.670789,0.000000,4.499953,2.184038E-6,0.002286,-0.133108
1.670744,0.000000,4.999470,2.179169E-6,0.002281,-0.133465
1.670766,0.000000,5.499348,2.175629E-6,0.002270,-0.133822
1.670880,0.000000,5.999629,2.162014E-6,0.002263,-0.134179
1.670744,0.000000,6.500221,2.156196E-6,0.002258,-0.134530
1.670721,0.000000,7.000237,2.151245E-6,0.002253,-0.134883
1.670789,0.000000,7.499462,2.146218E-6,0.002247,-0.135242
1.670834,0.000000,7.999040,2.140016E-6,0.002240,-0.135596
1.670744,0.000000,8.499559,2.132690E-6,0.002233,-0.135950
1.670721,0.000000,8.999887,2.127427E-6,0.002228,-0.136305
1.670789,0.000000,9.500381,2.121069E-6,0.002222,-0.136656
1.670766,0.000000,10.000010,2.114665E-6,0.002215,-0.137008
1.670676,0.000000,10.499280,2.108467E-6,0.002209,-0.137362
1.670698,0.000000,10.999380,2.103598E-6,0.002203,-0.137712
1.670721,0.000000,11.499650,2.099627E-6,0.002199,-0.138067
1.670812,0.000000,12.000280,2.094344E-6,0.002194,-0.138421
1.670812,0.000000,12.500090,2.090858E-6,0.002190,-0.138775
